employee_id,department,quarter,revenue,profit,expenses,bonus
57,Finance,Q1,4700913,858190,499835,8556
58,HR,Q3,3665944,845294,134569,4629
59,Finance,Q3,4498826,299627,338773,22390
60,Marketing,Q3,1811938,442782,70706,37173
61,Marketing,Q1,1039207,740508,429538,1842
62,HR,Q3,3482123,581540,38443,38631
63,Finance,Q4,4634043,586590,21021,26121
64,Operations,Q4,2403777,705193,474810,16129
65,Sales,Q1,4087967,319635,330114,19480
66,Marketing,Q3,619374,914487,175192,4296
67,Finance,Q2,1252682,358348,447121,33445
68,HR,Q4,293588,205839,305457,41613
69,Finance,Q1,623236,827056,230797,38786
70,Marketing,Q4,2451679,74917,279981,10543
71,Sales,Q3,4668113,109243,382891,15487
72,Operations,Q2,2345485,171493,51379,28136
73,Finance,Q3,1555084,685249,143999,7418
74,Finance,Q3,2485099,492091,404998,16112
75,Sales,Q3,4024983,374791,488116,17665
76,Operations,Q2,3429817,433726,128037,16388
77,Sales,Q3,377876,905367,176778,48158
78,Finance,Q2,3647371,641299,451719,40841
79,Marketing,Q2,2480984,262984,313369,16867
80,Sales,Q4,3292697,390690,135467,20275
81,Marketing,Q2,656198,714149,481294,17503
82,HR,Q3,499121,854765,136543,26237
83,Sales,Q2,140196,437630,352027,9039
84,HR,Q4,3646467,966977,334165,39004
85,Operations,Q1,3941434,948876,264268,37337
86,Sales,Q4,3547596,661250,202069,18978
87,Sales,Q3,1792627,728800,65649,1786
88,HR,Q1,793049,880238,273234,16474
89,Marketing,Q3,3700717,727412,236447,25202
90,Operations,Q1,617548,167922,350585,43929
91,Finance,Q3,4076052,349188,429148,9809
92,Marketing,Q4,4127796,581572,141188,1979
93,Marketing,Q1,3286502,581045,248845,38566
94,Marketing,Q3,937611,701364,183966,22471
95,HR,Q4,152259,50067,264266,18658
96,Sales,Q3,2288061,714837,125984,12665
97,Sales,Q1,2835739,399593,255986,41549
98,HR,Q2,4294468,189472,137169,33094
99,HR,Q3,4971400,171755,478646,37914
100,HR,Q4,3950815,953251,170056,18072
101,Sales,Q2,3684447,449106,92984,40673
102,Operations,Q1,1117343,252922,60756,11184
103,Sales,Q3,4971652,943182,398703,11992
104,Operations,Q1,1477717,444096,217601,30128
105,Operations,Q1,4467502,737502,256545,17390
106,HR,Q2,2559637,524827,130302,30462
107,HR,Q4,1004615,993415,353382,37532
108,HR,Q3,4727296,73017,392309,25198
109,HR,Q3,2699284,360412,217745,28704
110,Marketing,Q2,3049365,886932,215926,45130
111,Operations,Q1,4182385,525666,402220,47502
112,Operations,Q2,346750,913550,442779,45518
113,Sales,Q1,3985500,218348,102362,42442
114,Sales,Q3,1831756,213519,172311,6403
115,Operations,Q2,1215292,72483,84289,30026
116,Operations,Q4,1959922,484336,231983,44108
117,Operations,Q3,4913886,405881,414969,30707
118,HR,Q2,1268523,698965,397330,29986
119,Operations,Q1,4523728,236670,241550,43071
120,Marketing,Q3,4971962,872595,356452,35498
121,HR,Q1,360227,942474,210306,4993
122,Finance,Q2,736576,791816,392445,43988
123,Sales,Q4,394959,219581,452089,31388
124,HR,Q2,3524218,902718,403721,7410
125,Operations,Q4,560259,94898,183746,7305
126,Sales,Q4,1727493,665184,74908,2308
127,Marketing,Q2,3198552,464335,20876,15836
128,Finance,Q1,2329765,417182,306400,8184
129,Sales,Q3,1763308,787661,77905,42887
130,HR,Q3,1358240,279316,485150,20384
131,Sales,Q1,691238,928517,467434,9698
132,HR,Q1,4184494,336296,32966,12823
133,Marketing,Q4,163464,88190,286975,31896
134,Marketing,Q4,4713744,310377,148376,4495
135,HR,Q2,783818,571679,153341,26105
136,Operations,Q1,1538656,560714,317569,25037
137,Sales,Q2,685916,536240,150426,12486
138,Finance,Q2,3121915,952101,21453,23210
139,Finance,Q4,2384026,208549,431262,40969
140,HR,Q1,3174260,465272,494273,20933
141,Sales,Q3,830713,711745,178994,20971
142,Operations,Q3,3240389,388415,101527,21839
143,Finance,Q3,494100,155700,359157,25360
144,Finance,Q1,1257906,856010,408770,16381
145,Operations,Q4,2450703,383977,260110,44736
146,Sales,Q2,3089884,555555,355253,31276
147,HR,Q2,4172728,242314,115840,48410
148,Finance,Q1,424439,588164,367938,47440
149,Operations,Q4,683339,245390,108561,36324
150,Marketing,Q2,826706,844512,281722,21853
151,Finance,Q2,138459,111419,491894,14053
152,HR,Q3,4494555,484148,444061,3048
153,Finance,Q4,2283957,844628,41319,39601
154,Sales,Q1,189987,426971,228883,22276
155,HR,Q3,2616924,867352,49669,38223
156,Finance,Q4,277351,137007,247327,33744
157,Operations,Q3,686009,367430,385192,40877
158,HR,Q4,1016985,125990,13687,45953
159,HR,Q1,1451325,336242,158274,38726
160,Marketing,Q3,4956157,327717,241823,47744
161,Operations,Q4,4656548,874329,458512,35274
162,Marketing,Q1,1302679,188389,177875,39690
163,HR,Q4,3586316,847934,187398,40248
164,HR,Q3,1222922,471984,492696,9482
165,Operations,Q3,3917809,784593,198327,29986
166,Operations,Q4,3830107,595217,138743,7329
167,Sales,Q4,3780893,697508,473590,37141
168,Operations,Q1,519085,909160,451700,29733
169,HR,Q3,3316656,658694,54074,20427
170,Marketing,Q4,2019500,251013,169641,25893
171,Sales,Q4,636254,921498,144464,2717
172,Sales,Q4,4430974,502996,291467,15210
173,Sales,Q4,3009857,640416,43837,1137
174,Operations,Q3,2273827,174593,119945,2442
175,HR,Q4,3670420,248966,253453,49085
176,Operations,Q2,4164304,969493,470216,46151
177,Operations,Q2,3826281,604757,285828,25548
178,Sales,Q1,1580345,523376,44806,20528
179,Sales,Q3,1600924,307950,71098,28789
180,Marketing,Q4,2820093,871112,199635,43953
181,Finance,Q1,2130724,569337,163728,20264
182,Finance,Q3,1831401,774296,272395,33322
183,Marketing,Q2,1173213,848461,23636,35181
184,HR,Q2,4580858,276963,343057,19701
185,Operations,Q3,129445,891221,401653,43380
186,Marketing,Q1,4350666,640184,490809,27817
187,HR,Q4,877887,129506,288186,14463
188,Sales,Q1,793385,813404,233373,26155
189,Finance,Q3,2640176,657294,434766,3196
190,Sales,Q1,4275811,281634,108617,4015
191,Finance,Q1,741266,819523,428058,48070
192,Marketing,Q1,2861221,139233,275589,4193
193,Finance,Q2,1219603,95020,194182,8419
194,HR,Q4,3182822,850934,251482,35226
195,Operations,Q2,1346158,882046,311175,39056
196,Operations,Q2,2082234,969377,105087,23603
197,Sales,Q2,407775,737660,442371,9220
198,Sales,Q2,1901981,955695,116748,16361
199,Sales,Q2,3937004,66899,191813,34505
200,HR,Q4,2047585,362977,39609,5572
201,Sales,Q3,2841718,409618,314627,38047
202,Finance,Q2,1150363,449059,308553,35753
203,Finance,Q2,2739618,507164,381789,38815
204,Sales,Q2,2355735,987587,424151,28360
205,HR,Q1,3193667,535184,306744,6392
206,Operations,Q2,1379707,702244,210251,5556
207,Operations,Q1,2038207,646216,19780,3483
208,Operations,Q1,494048,122357,253284,1594
209,Marketing,Q3,4558734,392580,72690,18321
210,Sales,Q3,3171734,631668,137399,10435
211,Operations,Q3,3075412,260836,163789,29794
212,Finance,Q1,2004971,988296,471100,12743
213,HR,Q3,1153368,563995,191287,24212
214,HR,Q1,2196811,339077,246552,46911
215,Sales,Q4,2238274,508084,119770,18976
216,Marketing,Q1,1793927,364520,330803,24142
217,Finance,Q1,818505,160073,326190,15932
218,HR,Q1,3486337,137794,431916,17568
219,HR,Q4,2941437,535507,352859,21073
220,HR,Q4,2288488,491489,386540,2148
221,Marketing,Q3,2726587,958979,480473,18731
222,Sales,Q2,1282465,88432,218249,42177
223,HR,Q3,2029029,324531,301387,2597
224,Operations,Q3,2464032,578447,68595,17896
225,Marketing,Q4,281418,510949,198288,19438
226,Operations,Q4,2616806,577204,257628,31480
227,Operations,Q1,2372774,414768,99953,15291
228,Operations,Q1,1931346,56947,186155,33322
229,Finance,Q4,2570683,59436,137598,3342
230,Finance,Q2,4048917,385442,234988,9232
231,HR,Q4,2039275,100776,378886,41949
232,Marketing,Q4,615024,809429,81747,49277
233,Sales,Q2,2240759,227905,112791,26653
234,Marketing,Q2,3100897,815232,250883,25620
235,Marketing,Q3,2877067,489144,234701,7790
236,Finance,Q2,712793,214017,487334,7627
237,Finance,Q4,4951892,234446,22833,49654
238,Finance,Q4,3242419,404549,450420,14808
239,Sales,Q2,2878510,592844,270271,7218
240,Finance,Q4,4467114,509534,35495,5832
241,Operations,Q3,336448,129864,190816,15152
242,Sales,Q3,4002649,986556,394956,48571
243,Finance,Q1,2841581,251709,165722,3156
244,Sales,Q1,3726753,433574,122881,43066
245,Sales,Q3,4077155,646501,319074,47647
246,Finance,Q1,4642676,178785,97231,20144
247,Finance,Q3,4903793,267404,362033,7709
248,Marketing,Q3,4266718,140839,104160,43972
249,Sales,Q4,3357711,773304,494096,27385
250,Sales,Q1,1089398,600283,304154,26265
251,Finance,Q1,256267,76349,426986,39954
252,HR,Q4,4983546,658857,33542,2082
253,Marketing,Q2,4120540,722645,446260,6432
254,Sales,Q4,3947428,686932,397037,28385
255,Marketing,Q4,1692423,277191,180000,39520
256,Operations,Q3,3089695,139058,85651,17959
257,Sales,Q3,2585490,66109,392423,17886
258,Marketing,Q4,4425206,405291,217746,34924
259,HR,Q2,4694049,296292,155641,7654
260,Marketing,Q4,3223998,308983,195458,3311
261,HR,Q1,4242935,729866,100570,11590
262,Operations,Q4,519396,644416,391203,47043
263,Operations,Q2,3959665,214070,421689,2774
264,HR,Q2,504838,887770,126849,17780
265,HR,Q2,2398993,378629,152247,39256
266,HR,Q1,1618646,338935,48006,43498
267,HR,Q4,963735,526793,146366,43047
268,Sales,Q4,2541859,769952,393587,42298
269,Sales,Q1,3510406,926232,269952,17224
270,Sales,Q1,1632343,266417,425635,9981
271,Operations,Q2,980059,735802,272538,6270
272,Sales,Q4,393227,921669,379651,9554
273,Marketing,Q3,254274,771244,385695,28648
274,Sales,Q3,3461061,909150,147455,3909
275,Marketing,Q3,3520567,728325,135260,31695
276,Marketing,Q3,1692919,528086,99281,23877
277,Operations,Q2,2471252,368288,416483,45536
278,Operations,Q3,213176,248947,354578,10377
279,HR,Q3,2844713,771577,153875,13739
280,HR,Q4,2329071,287479,84302,7542
281,Sales,Q2,2654235,397380,234858,35042
282,HR,Q2,2464468,669469,146965,25848
283,HR,Q3,4540151,362138,47833,21952
284,Marketing,Q4,3721732,633094,439019,26787
285,HR,Q2,2435129,498294,379560,25258
286,Sales,Q2,1227319,495662,492426,15419
287,Operations,Q2,4972313,762456,104771,15386
288,Sales,Q4,2246676,313766,370543,21534
289,Marketing,Q4,3715324,679632,483305,17222
290,Marketing,Q4,4997711,91510,379248,27255
291,Marketing,Q1,4046551,911794,418764,26067
292,Finance,Q4,1095397,50985,119557,25921
293,Sales,Q3,159801,134421,430241,27824
294,Operations,Q2,1900813,272649,393248,40434
295,HR,Q2,1844588,215556,201119,3295
296,Operations,Q4,4231011,886982,128931,18129
297,Sales,Q4,2012954,229553,373269,6517
298,Marketing,Q1,2693968,428017,410629,27742
299,Marketing,Q2,2575641,213565,47093,3116
300,HR,Q1,3939553,994258,210730,21510
301,Sales,Q4,1017687,642047,337878,31144
302,Marketing,Q3,2499966,993629,383462,7887
303,Operations,Q1,1237561,115867,93831,35992
304,Sales,Q3,1519325,742504,26784,23883
305,HR,Q1,2175252,209636,466882,44855
306,Finance,Q2,3564231,948729,10232,34748
307,Finance,Q3,2546311,491382,128592,22987
308,Operations,Q3,716847,889594,77122,24218
309,Finance,Q1,542307,143836,270312,8742
310,Operations,Q4,3338814,470534,165313,1047
311,Marketing,Q3,2902135,391090,241411,22372
312,Marketing,Q3,1340654,478497,120775,16629
313,Sales,Q1,4072413,531789,194254,14223
314,Finance,Q3,4648538,401803,44790,6947
315,Marketing,Q4,515791,760477,134731,7790
316,HR,Q2,2385011,933124,258552,37766
317,Marketing,Q2,4466914,150003,336853,44361
318,Marketing,Q3,4142637,691789,153284,39104
319,Marketing,Q2,238274,224734,220681,21269
320,Marketing,Q2,1137350,617838,320822,34385
321,Sales,Q2,4766749,979750,121957,35480
322,Marketing,Q4,3753365,842788,336144,36088
323,Finance,Q3,1009635,325428,138891,41639
324,Operations,Q4,322215,277718,158480,8891
325,Marketing,Q4,918142,79560,55693,3178
326,Operations,Q2,835931,416326,152771,45978
327,Finance,Q3,2791057,389272,142098,41940
328,Sales,Q4,3527765,504359,116177,45954
329,HR,Q4,2243736,281912,384571,2576
330,Sales,Q4,4794654,333738,474249,36923
331,Sales,Q4,3807130,110442,247693,40526
332,HR,Q1,1499251,992608,133095,15148
333,Operations,Q2,119149,714259,177025,27517
334,Sales,Q1,2998904,70346,179199,10597
335,Finance,Q2,4574189,760637,19192,3586
336,Operations,Q1,4369622,501763,39437,16807
337,Marketing,Q1,622992,661842,317780,22589
338,Marketing,Q1,2949157,927298,176433,28630
339,Finance,Q4,3555623,919105,150034,18408
340,Operations,Q2,720554,508245,392607,48379
341,HR,Q1,3224326,847619,63194,7671
342,HR,Q1,692276,731976,397738,29618
343,Operations,Q1,1017674,278389,25688,35845
344,Finance,Q1,3051645,771393,313798,36772
345,Marketing,Q1,3038692,303513,170702,10479
346,HR,Q4,1435987,77180,61767,19723
347,HR,Q4,2463210,929550,113190,40597
348,Sales,Q3,3031721,580508,307234,13684
349,Sales,Q1,1497961,417022,41576,35417
350,Marketing,Q2,2794460,593004,411591,10373
351,Marketing,Q3,4734412,845729,472147,11756
352,Marketing,Q4,3560791,729540,125144,30863
353,Finance,Q3,877293,622732,53366,25706
354,HR,Q2,2921037,616383,402653,30695
355,Marketing,Q3,987412,679016,240224,15158
356,Sales,Q4,3785497,385704,215275,38903
357,Marketing,Q1,3781707,464249,387639,6852
358,HR,Q1,613052,544246,390369,11165
359,HR,Q1,4573258,255058,209618,7505
360,Operations,Q4,693839,284762,90733,13222
361,Marketing,Q3,4538195,416846,299520,4685
362,Sales,Q1,2189717,396813,363328,37298
363,Finance,Q2,2152166,201997,61830,24400
364,Finance,Q3,4414182,665327,220113,29300
365,Marketing,Q1,630042,50651,221142,4639
366,Finance,Q1,226441,425103,96856,48206
367,Operations,Q3,529583,411608,110324,35294
368,Finance,Q4,469726,991911,170374,32713
369,Finance,Q2,4497776,987698,320859,44837
370,Marketing,Q1,319285,137449,254180,39866
371,Sales,Q3,2826972,476679,205979,29377
372,Marketing,Q4,607233,745592,203177,33603
373,Finance,Q2,1744785,843813,360165,8722
374,Marketing,Q4,1389783,312831,352446,14901
375,Operations,Q2,4633711,971728,29183,22141
376,Operations,Q3,4433489,551776,413322,49540
377,HR,Q1,4308006,504353,209382,8102
378,Sales,Q2,1247718,272920,360685,8714
379,Operations,Q1,3568246,305444,387501,29480
380,Sales,Q2,313140,912017,370322,33943
381,Finance,Q3,475810,676174,66327,39709
382,Sales,Q3,1756535,153046,419826,29369
383,Sales,Q3,2529761,276206,283209,49074
384,Sales,Q2,3701395,900590,310646,17666
385,Sales,Q1,3989520,560234,463579,5494
386,HR,Q2,1017939,500961,87297,25527
387,HR,Q3,2075860,993014,246094,9719
388,Sales,Q1,2658506,846134,201026,28669
389,Marketing,Q2,4536941,152018,200376,6412
390,Operations,Q4,4814238,121445,306366,14124
391,Finance,Q4,101147,269296,50625,26121
392,Finance,Q1,4978880,151911,10087,16196
393,HR,Q3,4085525,969934,22724,33331
394,Sales,Q3,618087,533279,275158,7020
395,HR,Q3,4541330,313425,202338,38593
396,Operations,Q3,1509521,675067,484546,48946
397,HR,Q3,2904542,225293,98199,3761
398,Operations,Q4,4311869,659717,399485,19648
399,Sales,Q3,4443713,804704,171831,9885
400,Marketing,Q4,4954555,949792,437315,45716
401,Marketing,Q1,2175635,277425,243869,49347
402,Operations,Q1,3523789,214748,289509,38778
403,Operations,Q1,4122281,548361,358677,9131
404,Operations,Q3,3821216,100392,444158,2342
405,HR,Q4,1065281,374600,293446,48637
406,HR,Q4,2215309,244653,102634,13965
407,Marketing,Q3,4119068,853922,242513,8916
408,Finance,Q3,1688885,755455,95912,7481
409,Operations,Q1,3917527,375984,391584,15260
410,Marketing,Q1,3512391,530991,353894,11058
411,Finance,Q2,3267081,688754,472300,11900
412,Finance,Q4,1077136,801706,12347,36383
413,Marketing,Q2,3255817,520385,473094,33126
414,Marketing,Q3,1102474,674800,309316,14106
415,Operations,Q3,4056254,608531,168634,5995
416,Sales,Q2,740808,188563,67572,23387
417,Marketing,Q2,1415394,321962,297027,20945
418,Marketing,Q2,3098266,365951,402701,21492
419,Marketing,Q2,2416875,773789,230973,4037
420,Marketing,Q3,1201450,403369,124873,15047
421,Marketing,Q1,3132449,966358,332067,27222
422,Marketing,Q1,4802120,107324,166754,47544
423,Finance,Q4,3451549,56196,293008,2080
424,Operations,Q2,4994497,672100,53608,29868
425,Operations,Q2,1645549,136330,273694,37414
426,Finance,Q2,360821,694800,391790,46220
427,Finance,Q4,1423968,377993,220152,21862
428,Marketing,Q4,3513303,646972,57461,40786
429,Marketing,Q3,3204581,968686,401578,35340
430,Marketing,Q4,4410833,275657,24376,7763
431,Operations,Q3,1619037,134798,415820,5371
432,Marketing,Q1,300517,279433,376505,40229
433,HR,Q4,745829,369434,327101,40978
434,Marketing,Q4,1151716,612454,479939,27943
435,Finance,Q3,4626617,415409,161521,10107
436,Marketing,Q1,1603372,117491,261124,1760
437,Sales,Q4,4953468,729735,83734,34042
438,Operations,Q1,2331930,628375,385649,39027
439,Operations,Q4,3767048,834559,436669,29087
440,Finance,Q2,647397,804630,93821,3009
441,Operations,Q4,4600813,435656,302791,6036
442,HR,Q4,1354850,194373,290412,18549
443,Sales,Q3,169075,421447,78232,47074
444,Finance,Q1,4818091,476140,103608,41855
445,HR,Q4,4110249,387726,335789,29114
446,Marketing,Q3,4498370,689867,222968,39141
447,Operations,Q1,2223093,874433,186446,10858
448,Marketing,Q1,2308225,987758,144729,18492
449,HR,Q3,1048046,772150,194218,18561
450,HR,Q3,2839544,706446,184625,47301
451,HR,Q3,671525,145811,138659,37872
452,Finance,Q4,4448997,612449,227826,2073
453,HR,Q2,762821,363380,389383,13380
454,Marketing,Q1,3225837,841310,400678,12735
455,Marketing,Q2,4340303,102440,283832,5855
456,Sales,Q1,3787162,592175,272727,1280
457,Sales,Q2,2888019,478957,459693,28259
458,Sales,Q3,1934378,485088,61514,43091
459,Sales,Q2,2820217,80153,211670,42961
460,HR,Q4,3726648,327363,438609,17054
461,Finance,Q4,4536608,317233,44664,47556
462,Marketing,Q1,4467354,389643,376048,18214
463,Marketing,Q2,1433075,354686,363685,26328
464,Marketing,Q3,3791631,526266,14049,24651
465,Sales,Q4,3531286,604788,428310,27129
466,Finance,Q2,2574034,466349,417376,12793
467,Operations,Q3,4467874,906259,488069,15659
468,Sales,Q3,1288646,252320,207797,31440
469,Marketing,Q3,1624280,884401,50012,17149
470,Finance,Q2,643866,409009,25521,35758
471,Sales,Q4,2529021,730717,340343,48426
472,Marketing,Q3,4536081,136224,106023,14084
473,Finance,Q1,4041493,912459,209885,38357
474,HR,Q2,2929796,431600,323808,21761
475,Finance,Q4,4075750,74627,419015,4342
476,Finance,Q2,1275735,509383,445244,32593
477,Operations,Q3,3392809,605636,394763,33940
478,Finance,Q4,903667,971327,256498,1949
479,Operations,Q3,3816369,446855,181209,6092
480,Finance,Q3,297606,171879,259362,20421
481,Marketing,Q2,1668046,928570,195789,46970
482,Sales,Q1,2430395,961448,466859,10739
483,Finance,Q2,4119697,509930,389648,33045
484,Finance,Q1,3630872,676570,421098,47098
485,Sales,Q3,285393,297238,489520,36569
486,Operations,Q1,3875034,709516,413149,8400
487,Sales,Q1,1737608,81519,181645,37988
488,Finance,Q1,297202,817315,463174,23191
489,Marketing,Q1,2640660,501454,481590,36533
490,HR,Q3,4062948,197012,380362,42321
491,Operations,Q4,735314,836509,279512,40282
492,Finance,Q3,3634855,773754,422555,12376
493,Sales,Q3,2426865,266902,413225,12266
494,Sales,Q1,4984014,207240,64192,31935
495,Marketing,Q4,3031242,916968,182884,42184
496,HR,Q3,2039521,392360,80874,3591
497,Operations,Q4,749243,721536,445323,34775
498,Sales,Q4,4295760,874064,259908,34625
499,HR,Q4,3829447,229406,117143,34411
500,Sales,Q4,1104159,959970,476035,36043
